removed,reason
telencephalon,anatomical entity
choroidal blood vessel,anatomical entity
postcranial axial skeleton,anatomical entity
viscus,anatomical entity
vasculature of head,anatomical entity
alimentary part of gastrointestinal system,anatomical entity
respiratory system,anatomical entity
anterior region of body,anatomical entity
cardiovascular system,anatomical entity
hemolymphoid system,anatomical entity
vitreous body,anatomical entity
regurgitated substance,anatomical entity
hypodermis,anatomical entity
respiratory system basement membrane,anatomical entity
head mesenchyme from mesoderm,anatomical entity
blood vessel,anatomical entity
skin of head,anatomical entity
forebrain neural plate,anatomical entity
embryo,anatomical entity
anterior segment of eyeball,anatomical entity
1st arch mesenchyme from head mesenchyme,anatomical entity
anatomical system,anatomical entity
anatomical structure,anatomical entity
appendage girdle complex,anatomical entity
respiratory system muscle,anatomical entity
extraembryonic structure,anatomical entity
mandibular neural crest,anatomical entity
skeletal element of eye region,anatomical entity
integumental system,anatomical entity
retina blood vessel,anatomical entity
excretory system,anatomical entity
craniocervical region,anatomical entity
digestive tract,anatomical entity
chyme,anatomical entity
cardiopharyngeal field,anatomical entity
intestine,anatomical entity
blood vasculature,anatomical entity
thoracic segment connective tissue,anatomical entity
cranial blood vasculature,anatomical entity
haemolymphatic fluid,anatomical entity
basement membrane of epithelium,anatomical entity
non-neurogenic ectodermal placode,anatomical entity
immature eye,anatomical entity
girdle skeleton,anatomical entity
nerve of trunk region,anatomical entity
oronasal secretion,anatomical entity
intestine smooth muscle,anatomical entity
feces,anatomical entity
nerve of thoracic segment,anatomical entity
camera-type eye,anatomical entity
orifice,anatomical entity
mesoderm-derived structure,anatomical entity
pectoral lymphatic vessel,anatomical entity
facial bone,anatomical entity
epithelial fold,anatomical entity
foregut epithelium,anatomical entity
subdivision of head,anatomical entity
excretory tube,anatomical entity
simple eye,anatomical entity
future forebrain,anatomical entity
non-connected functional system,anatomical entity
epiblast (generic),anatomical entity
skeletal element projection,anatomical entity
pharyngeal arch system,anatomical entity
smooth muscle tissue,anatomical entity
thoracic skeleton,anatomical entity
primitive heart tube,anatomical entity
skin muscle,anatomical entity
developing mesenchymal condensation,anatomical entity
pectoral girdle skeleton,anatomical entity
organism subdivision,anatomical entity
1st arch mandibular mesenchyme from head mesenchyme,anatomical entity
cranium,anatomical entity
periventricular zone of hypothalamus,anatomical entity
embryonic tissue,anatomical entity
eye mesenchyme,anatomical entity
primary subdivision of skull,anatomical entity
septum,anatomical entity
irregular connective tissue,anatomical entity
lymph,anatomical entity
epithelium of gonad,anatomical entity
blood island,anatomical entity
mixed ectoderm/mesoderm/endoderm-derived structure,anatomical entity
choroid plexus,anatomical entity
cutaneous appendage,anatomical entity
cloaca,anatomical entity
endo-epithelium,anatomical entity
cranial skeletal system,anatomical entity
respiratory system smooth muscle,anatomical entity
nerve of head region,anatomical entity
subdivision of skeletal system,anatomical entity
amniotic fluid,anatomical entity
vascular system,anatomical entity
ectodermal part of digestive tract,anatomical entity
buccopharyngeal membrane,anatomical entity
optic cup,anatomical entity
hematopoietic system,anatomical entity
stomodeum,anatomical entity
lens vesicle epithelium,anatomical entity
trunk mesenchyme,anatomical entity
craniocervical region musculature,anatomical entity
mandibular process mesenchyme from head mesenchyme,anatomical entity
integumentary adnexa,anatomical entity
respiratory system lymphatic vessel smooth muscle,anatomical entity
jaw skeleton,anatomical entity
girdle bone/zone,anatomical entity
cardiogenic plate,anatomical entity
axial skeleton plus cranial skeleton,anatomical entity
presumptive gut,anatomical entity
presumptive structure,anatomical entity
postcranial axial skeletal system,anatomical entity
mandibular prominence,anatomical entity
cerumen,anatomical entity
facial mesenchyme,anatomical entity
vasculature of central nervous system plus retina,anatomical entity
heart tube,anatomical entity
body proper,anatomical entity
urogenital sinus epithelium,anatomical entity
anterior chamber of eyeball,anatomical entity
musculature of face,anatomical entity
mesenchyme of hindgut,anatomical entity
peripheral nervous system,anatomical entity
gray matter of diencephalon,anatomical entity
optic vesicle,anatomical entity
tissue,anatomical entity
disconnected anatomical group,anatomical entity
digestive tract epithelium,anatomical entity
secretion of serous membrane,anatomical entity
future central nervous system,anatomical entity
respiratory system connective tissue,anatomical entity
muscle organ,anatomical entity
gray matter,anatomical entity
skin epidermis,anatomical entity
ciliary epithelium,anatomical entity
vitreous chamber of eyeball,anatomical entity
blood vessel smooth muscle,anatomical entity
heart plus pericardium,anatomical entity
nerve,anatomical entity
dermatome,anatomical entity
anlage,anatomical entity
acellular anatomical structure,anatomical entity
endoderm,anatomical entity
columnar epithelium,anatomical entity
skin of clavicle region,anatomical entity
skeletal tissue,anatomical entity
anterior chamber epithelium,anatomical entity
anterior neural tube,anatomical entity
epithelium of mucosa,anatomical entity
anal region,anatomical entity
brain ventricle/choroid plexus,anatomical entity
skeleton of lower jaw,anatomical entity
cloacal epithelium,anatomical entity
meconium,anatomical entity
entire extraembryonic component,anatomical entity
bone collagen fibril,anatomical entity
gray matter of forebrain,anatomical entity
articular system,anatomical entity
appendicular skeleton,anatomical entity
external soft tissue zone,anatomical entity
musculoskeletal system,anatomical entity
chyle,anatomical entity
multilaminar epithelium,anatomical entity
lymphatic part of lymphoid system,anatomical entity
orifice of skull,anatomical entity
appendage girdle region,anatomical entity
choroid plexus of lateral ventricle,anatomical entity
vessel,anatomical entity
digestive tract junction,anatomical entity
entire pharyngeal arch associated mesenchyme,anatomical entity
brain ventricle,anatomical entity
hypothalamus,anatomical entity
material anatomical entity,anatomical entity
photoreceptor array,anatomical entity
central nervous system,anatomical entity
ocular refractive media,anatomical entity
lateral ventricle choroid plexus epithelium,anatomical entity
circulatory organ,anatomical entity
epithelium of hindgut,anatomical entity
coronary vessel,anatomical entity
subdivision of organism along main body axis,anatomical entity
circulatory system,anatomical entity
wall of blood vessel,anatomical entity
embryonic structure,anatomical entity
primordium,anatomical entity
lens vesicle,anatomical entity
vasculature of iris,anatomical entity
secretion of serous gland,anatomical entity
prosomere,anatomical entity
regional part of nervous system,anatomical entity
organ system subdivision,anatomical entity
musculature of thorax,anatomical entity
pectoral complex,anatomical entity
cranial neural crest,anatomical entity
pleural effusion,anatomical entity
ventricle of nervous system,anatomical entity
shell,anatomical entity
multi cell part structure,anatomical entity
internal anal region,anatomical entity
trunk bone,anatomical entity
dermis adipose tissue,anatomical entity
structure with developmental contribution from neural crest,anatomical entity
gastrointestinal system smooth muscle,anatomical entity
neural crest-derived structure,anatomical entity
multicellular organism,anatomical entity
thoracic cavity element,anatomical entity
facial skeleton,anatomical entity
embryonic cloaca,anatomical entity
wall of eyeball,anatomical entity
extraembryonic tissue,anatomical entity
gastrula,anatomical entity
gastrointestinal system epithelium,anatomical entity
intestinal mucosa,anatomical entity
epithelium of lens,anatomical entity
intermediate mesoderm,anatomical entity
bone of reproductive organ,anatomical entity
bone of jaw,anatomical entity
reproductive structure,anatomical entity
pharyngeal arch mesenchyme from head mesenchyme,anatomical entity
milk,anatomical entity
anterior uvea,anatomical entity
transudate,anatomical entity
mesoderm,anatomical entity
presumptive paraxial mesoderm,anatomical entity
mesoderm blood island,anatomical entity
vasculature of muscle organ,anatomical entity
future telencephalon,anatomical entity
diencephalon,anatomical entity
morphological feature,anatomical entity
sebum,anatomical entity
visual system,anatomical entity
neuron projection bundle,anatomical entity
brain blood vessel,anatomical entity
gut wall,anatomical entity
multi-tissue structure,anatomical entity
respiratory system mucosa,anatomical entity
diencephalic nucleus,anatomical entity
multicellular anatomical structure,anatomical entity
compound organ,anatomical entity
gonad,anatomical entity
foregut,anatomical entity
mesenchyme derived from head neural crest,anatomical entity
saliva,anatomical entity
genitourinary system,anatomical entity
orbital region,anatomical entity
pharyngeal arch,anatomical entity
muscle tissue,anatomical entity
musculature of pectoral complex,anatomical entity
primary heart field,anatomical entity
primitive urogenital sinus,anatomical entity
respiratory system blood vessel smooth muscle,anatomical entity
endoderm-derived structure,anatomical entity
anatomical conduit,anatomical entity
eyeball of camera-type eye,anatomical entity
axial skeletal system,anatomical entity
gray matter of telencephalon,anatomical entity
blastula,anatomical entity
ciliary muscle,anatomical entity
cloacal mucosa,anatomical entity
integumentary projection,anatomical entity
cardiac mesenchyme,anatomical entity
respiratory system lymphatic vessel,anatomical entity
enveloping layer of ectoderm,anatomical entity
integumentary system layer,anatomical entity
pleural fluid,anatomical entity
migrating mesenchyme population,anatomical entity
bone tissue,anatomical entity
renal system,anatomical entity
mouth-foregut junction,anatomical entity
pectoral girdle bone,anatomical entity
face,anatomical entity
pharyngeal arch mesenchymal region,anatomical entity
ectoderm,anatomical entity
anatomical projection,anatomical entity
organ component layer,anatomical entity
organism substance,anatomical entity
head external integument structure,anatomical entity
presumptive mesoderm,anatomical entity
acellular membrane,anatomical entity
dermal skeletal element,anatomical entity
anatomical cluster,anatomical entity
muscle of iris,anatomical entity
segmental subdivision of nervous system,anatomical entity
thalamic complex,anatomical entity
multi organ part structure,anatomical entity
telencephalic nucleus,anatomical entity
external integument structure,anatomical entity
mucus,anatomical entity
skeleton of pectoral complex,anatomical entity
head mesenchyme,anatomical entity
atypical epithelium,anatomical entity
dermis connective tissue,anatomical entity
optic choroid,anatomical entity
vasculature of retina,anatomical entity
chamber of eyeball,anatomical entity
cavitated compound organ,anatomical entity
blood,anatomical entity
central nervous system cell part cluster,anatomical entity
blood vessel layer,anatomical entity
1st arch mandibular mesenchyme,anatomical entity
neural crest,anatomical entity
immune organ,anatomical entity
lateral plate mesoderm,anatomical entity
musculature of body,anatomical entity
mammary gland fluid/secretion,anatomical entity
collection of collagen fibrils,anatomical entity
neural tube,anatomical entity
choroid plexus epithelium,anatomical entity
wall of intestine,anatomical entity
anal membrane endodermal component,anatomical entity
ingested food,anatomical entity
mesenchyme of lower jaw,anatomical entity
gastrointestinal system mucosa,anatomical entity
musculature of trunk,anatomical entity
developing mesenchymal structure,anatomical entity
future brain,anatomical entity
presumptive ectoderm,anatomical entity
oral epithelium,anatomical entity
ventricular system of brain,anatomical entity
developing anatomical structure,anatomical entity
shell septum,anatomical entity
cranial lymph vasculature,anatomical entity
endoderm of buccopharyngeal membrane,anatomical entity
somite,anatomical entity
neural fold,anatomical entity
epithelial tube,anatomical entity
entire embryonic mesenchyme,anatomical entity
main body axis,anatomical entity
embryonic cloacal epithelium,anatomical entity
pectoral girdle region,anatomical entity
integument,anatomical entity
cardiac septum,anatomical entity
secretion of exocrine gland,anatomical entity
iris blood vessel,anatomical entity
posterior segment of eyeball,anatomical entity
respiratory system epithelium,anatomical entity
sensory organ epithelium,anatomical entity
pharynx,anatomical entity
endodermal part of digestive tract,anatomical entity
embryonic facial prominence,anatomical entity
anal membrane ectodermal component,anatomical entity
iris,anatomical entity
lymphatic vessel smooth muscle,anatomical entity
mandibular process mesenchyme,anatomical entity
vasculature of brain,anatomical entity
oral epithelium from ectoderm,anatomical entity
tube,anatomical entity
germ layer,anatomical entity
urine,anatomical entity
vasculature of musculoskeletal system,anatomical entity
gonad primordium,anatomical entity
iris epithelium,anatomical entity
immune system,anatomical entity
skeletal joint,anatomical entity
forebrain,anatomical entity
bone of appendage girdle complex,anatomical entity
mouth,anatomical entity
subdivision of skeleton,anatomical entity
anal region smooth muscle,anatomical entity
transparent eye structure,anatomical entity
nuclear complex of neuraxis,anatomical entity
subdivision of digestive tract,anatomical entity
connective tissue,anatomical entity
blood plasma,anatomical entity
body external integument structure,anatomical entity
paraxial mesoderm,anatomical entity
appendicular skeletal system,anatomical entity
presumptive neural plate,anatomical entity
lower jaw region,anatomical entity
dermis,anatomical entity
mesenchyme derived from neural crest,anatomical entity
epithelium of lower jaw,anatomical entity
mesenchyme,anatomical entity
tela choroidea of telencephalic ventricle,anatomical entity
presumptive endoderm,anatomical entity
reproductive system mucosa,anatomical entity
head blood vessel,anatomical entity
vasculature of respiratory integument,anatomical entity
vasculature of central nervous system,anatomical entity
bone of lower jaw,anatomical entity
subcutaneous adipose tissue,anatomical entity
bile,anatomical entity
axilla skin,anatomical entity
1st arch mandibular mesenchyme from neural crest,anatomical entity
facial lymphatic vessel,anatomical entity
nonsynovial joint,anatomical entity
trunk somite,anatomical entity
reproductive organ,anatomical entity
thoracic segment organ,anatomical entity
sense organ,anatomical entity
holothurian digestive tract contents,anatomical entity
neural nucleus,anatomical entity
limbic system,anatomical entity
skull,anatomical entity
neural keel,anatomical entity
cloacal muscle,anatomical entity
epithelial vesicle,anatomical entity
iris smooth muscle,anatomical entity
pharyngeal arch mesenchyme from neural crest,anatomical entity
protuberance,anatomical entity
neuromere,anatomical entity
trunk connective tissue,anatomical entity
meso-epithelium,anatomical entity
vomit,anatomical entity
primary circulatory organ,anatomical entity
heart rudiment,anatomical entity
nervous system,anatomical entity
zone of organ,anatomical entity
retina,anatomical entity
sensory system,anatomical entity
wall of ventricular system of brain,anatomical entity
digestive system,anatomical entity
thoracic segment blood vessel,anatomical entity
neurectoderm,anatomical entity
heart layer,anatomical entity
transitional anatomical structure,anatomical entity
aqueous humor of eyeball,anatomical entity
chorioretinal region,anatomical entity
lymphoid system,anatomical entity
adipose tissue,anatomical entity
epithelial tube open at both ends,anatomical entity
smooth muscle of eye,anatomical entity
bone element,anatomical entity
fungal structure,anatomical entity
organ subunit,anatomical entity
heart primordium,anatomical entity
cardiogenic splanchnic mesoderm,anatomical entity
presomitic mesoderm,anatomical entity
honey,anatomical entity
dense mesenchyme tissue,anatomical entity
subdivision of trunk,anatomical entity
primordial vasculature,anatomical entity
telencephalic ventricle,anatomical entity
lymph vasculature,anatomical entity
gonad mesenchyme,anatomical entity
brain gray matter,anatomical entity
smooth muscle layer in fatty layer of subcutaneous tissue,anatomical entity
heart,anatomical entity
pus,anatomical entity
embryonic skin basal layer,anatomical entity
skin of trunk,anatomical entity
eye primordium,anatomical entity
synovial joint,anatomical entity
sclerotome,anatomical entity
oral opening,anatomical entity
epithelium,anatomical entity
skin of thorax,anatomical entity
mucosa of oral region,anatomical entity
thoracic segment bone,anatomical entity
trunk,anatomical entity
foramen of skull,anatomical entity
trunk blood vessel,anatomical entity
future dermis,anatomical entity
intestinal junction,anatomical entity
zone of skin,anatomical entity
conceptus,anatomical entity
jaw epithelium,anatomical entity
prechordal mesoderm,anatomical entity
organ part,anatomical entity
dense connective tissue,anatomical entity
joint of girdle,anatomical entity
bone of pectoral complex,anatomical entity
tela choroidea,anatomical entity
eye,anatomical entity
splanchnic layer of lateral plate mesoderm,anatomical entity
external ectoderm,anatomical entity
pigment epithelium of eye,anatomical entity
ectodermal placode,anatomical entity
unilaminar epithelium,anatomical entity
late embryo,anatomical entity
organ,anatomical entity
nest of ant,animal habitation
beaver dam,animal habitation
nest of bird,animal habitation
nest of alligator,animal habitation
nest of termite,animal habitation
animal habitation,animal habitation
continental arc,archipelago
island arc,archipelago
archipelago,archipelago
volcanic arc,archipelago
alpine tundra biome,biome
marine benthic biome,biome
freshwater lake biome,biome
tundra biome,biome
marine sponge reef biome,biome
forest biome,biome
marine neritic benthic zone biome,biome
oceanic abyssopelagic zone biome,biome
temperate mediterranean sea biome,biome
tropical marginal sea biome,biome
rangeland biome,biome
marine hydrothermal vent biome,biome
marine black smoker biome,biome
oceanic mesopelagic zone biome,biome
large river delta biome,biome
polar desert biome,biome
marine hadal zone biome,biome
subtropical broadleaf forest biome,biome
biome,biome
terrestrial biome,biome
tropical woodland biome,biome
desert biome,biome
tropical moist broadleaf forest biome,biome
mediterranean woodland biome,biome
village biome,biome
broadleaf forest biome,biome
oceanic bathypelagic zone biome,biome
small river biome,biome
subtropical woodland biome,biome
montane grassland biome,biome
tropical grassland biome,biome
temperate mixed forest biome,biome
alpine biome,biome
marine ultramafic hydrothermal vent biome,biome
mediterranean grassland biome,biome
mediterranean savanna biome,biome
montane desert biome,biome
temperate shrubland biome,biome
marine pelagic biome,biome
estuarine biome,biome
mangrove biome,biome
xeric basin biome,biome
freshwater river biome,biome
anthropogenic terrestrial biome,biome
polar biome,biome
oceanic sea surface microlayer biome,biome
xeric shrubland biome,biome
neritic pelagic zone biome,biome
urban biome,biome
aquatic biome,biome
grassland biome,biome
tropical coniferous forest biome,biome
marine white smoker biome,biome
oceanic hadal pelagic zone biome,biome
freshwater stream biome,biome
mixed forest biome,biome
marine salt marsh biome,biome
concentration basin mediterranean sea biome,biome
marine abyssal zone biome,biome
tropical biome,biome
temperate grassland biome,biome
mediterranean sea biome,biome
temperate marginal sea biome,biome
subtropical shrubland biome,biome
montane savanna biome,biome
flooded grassland biome,biome
subtropical desert biome,biome
subalpine biome,biome
temperate desert biome,biome
oceanic benthopelagic zone biome,biome
subtropical grassland biome,biome
subtropical coniferous forest biome,biome
temperate woodland biome,biome
tropical mixed forest biome,biome
tropical desert biome,biome
subtropical dry broadleaf forest biome,biome
woodland biome,biome
oceanic epipelagic zone biome,biome
tropical broadleaf forest biome,biome
temperate marine upwelling biome,biome
cropland biome,biome
flooded savanna biome,biome
tropical marine coral reef biome,biome
subpolar biome,biome
neritic sea surface microlayer biome,biome
arid biome,biome
montane shrubland biome,biome
savanna biome,biome
temperate savanna biome,biome
temperate coniferous forest biome,biome
tidal mangrove shrubland,biome
coniferous forest biome,biome
large freshwater lake biome,biome
ocean biome,biome
subtropical biome,biome
tropical marine upwelling biome,biome
marine cold seep biome,biome
marine basaltic hydrothermal vent biome,biome
marginal sea biome,biome
dilution basin mediterranean sea biome,biome
shrubland biome,biome
subtropical savanna biome,biome
small freshwater lake biome,biome
marine bathyal zone biome,biome
subtropical moist broadleaf forest biome,biome
marine subtidal rocky reef biome,biome
temperate biome,biome
freshwater biome,biome
tropical shrubland biome,biome
large river headwater biome,biome
oceanic pelagic zone biome,biome
dense settlement biome,biome
temperate broadleaf forest biome,biome
marine reef biome,biome
mediterranean shrubland biome,biome
large river biome,biome
mediterranean forest biome,biome
neritic mesopelagic zone biome,biome
montane biome,biome
tropical dry broadleaf forest biome,biome
mediterranean biome,biome
subpolar coniferous forest biome,biome
marine biome,biome
marine upwelling biome,biome
tropical savanna biome,biome
neritic epipelagic zone biome,biome
epeiric sea biome,biome
marine coral reef biome,biome
area of developed space with high usage intensity,biome
Bathymodiolus-dominated oceanic mussel bed,biome
organic farm,biome
temperate deciduous broadleaf forest,biome
marine mud,biome
orchard soil,biome
area of attached mussel assemblages,biome
coastal scrubland,biome
area of barren land,biome
rocky desert,biome
swamp area,biome
ranch,biome
rice field,biome
temperate mixed broadleaf forest,biome
tea plantation,biome
game reserve,biome
savanna,biome
neritic mussel bed,biome
mangrove biome sediment,biome
tropical lowland evergreen broadleaf rain forest,biome
area of evergreen forest,biome
scrubland area,biome
sisal plantation,biome
pasture,biome
area of cropland,biome
area of deciduous forest,biome
tropical deciduous broadleaf forest,biome
cold desert,biome
vineyard,biome
area of dwarf scrub,biome
area of developed open space,biome
marine salt marsh sediment,biome
oceanic mussel reef,biome
rural settlement,biome
steppe,biome
banana plantation,biome
slum,biome
area of lichen-dominated vegetation,biome
temperate mixed needleleaf forest,biome
sugar plantation,biome
plantation,biome
coffee plantation,biome
area of attached Modiolus assemblages,biome
terrestrial environmental zone,biome
area of developed space with low usage intensity,biome
area of developed space,biome
neritic mussel reef,biome
oceanic mussel bed,biome
prairie,biome
cotton plantation,biome
area of polar tundra,biome
temperate deciduous needleleaf forest,biome
rubber plantation soil,biome
area of scrub,biome
area of sedge- and forb-dominated herbaceous vegetation,biome
oasis,biome
desert scrubland,biome
orchard,biome
mussel reef,biome
chaparral area,biome
tropical semi-evergreen moist broadleaf forest,biome
wetland area,biome
area of pastureland or hayfields,biome
rubber plantation,biome
olive grove,biome
anthropised terrestrial environmental zone,biome
area of emergent herbaceous wetland,biome
vegetated area,biome
oil palm plantation,biome
area of alpine tundra,biome
Bathymodiolus-dominated oceanic mussel reef,biome
area of developed space with medium usage intensity,biome
temperate evergreen needleleaf forest,biome
area of gramanoid or herbaceous vegetation,biome
sandy desert,biome
area of woody wetland,biome
bush area,biome
desert oasis,biome
tropical needleleaf forest,biome
business park,biome
area of tundra,biome
flower strip,biome
flower-rich field margin strip,biome
tropical semi-deciduous broadleaf forest,biome
area of moss-dominated vegetation,biome
heath,biome
forested area,biome
woodland area,biome
stony desert,biome
coconut plantation,biome
temperate broadleaf evergreen forest,biome
grassland area,biome
dairy farm,biome
farm,biome
area of mixed forest,biome
desert area,biome
organic dairy farm,biome
rural area,biome
body of liquid,body of liquid
landslide lake,body of liquid
coastal flood,body of liquid
marine oligotrophic desert,body of liquid
tributary,body of liquid
wadi mouth,body of liquid
resequent stream,body of liquid
eutrophic pond,body of liquid
geothermally heated river,body of liquid
estuary,body of liquid
drinking water reservoir,body of liquid
marine lake,body of liquid
irrigation canal,body of liquid
marine water body,body of liquid
polluted lake,body of liquid
hypoxic lake,body of liquid
freshwater lake,body of liquid
flume,body of liquid
warm polymictic lake,body of liquid
meromictic lake,body of liquid
saline wedge estuary,body of liquid
melt pond,body of liquid
storm surge,body of liquid
warm monomictic lake,body of liquid
brackish pond,body of liquid
amenity lake,body of liquid
fresh water body,body of liquid
paternoster lake,body of liquid
stream,body of liquid
saline evaporation pond,body of liquid
waterhole,body of liquid
impact crater lake,body of liquid
lake with an oxic hypolimnion,body of liquid
alkaline salt lake,body of liquid
container of an intermittent oxbow lake,body of liquid
humic lake,body of liquid
shrimp pond,body of liquid
marine warm-water sphere,body of liquid
drainage canal,body of liquid
cold polymictic lake,body of liquid
atmosphere and water column exposed melt pond,body of liquid
volcanic crater lake,body of liquid
underground stream,body of liquid
insequent stream,body of liquid
backwater,body of liquid
mesotrophic lake,body of liquid
ribbon lake,body of liquid
lentic water body,body of liquid
hypereutrophic lake,body of liquid
atmosphere-exposed melt pond,body of liquid
subsequent stream,body of liquid
tarn,body of liquid
coastal shrimp pond,body of liquid
acid mine drainage,body of liquid
lake,body of liquid
lost stream,body of liquid
ice-encased melt pond,body of liquid
inverse estuary,body of liquid
thermokarst lake,body of liquid
lotic water body,body of liquid
ocean,body of liquid
oxic lake,body of liquid
mine drainage,body of liquid
gold mine drainage,body of liquid
natural lake,body of liquid
aeolian lake,body of liquid
caldera lake,body of liquid
water column exposed melt pond,body of liquid
highly stratified estuary,body of liquid
reservoir,body of liquid
saline water body,body of liquid
glacial lake,body of liquid
monomictic lake,body of liquid
water body,body of liquid
flash flood,body of liquid
endorheic lake,body of liquid
delta,body of liquid
water mass,body of liquid
lake with an anoxic hypolimnion,body of liquid
stream mouth,body of liquid
river,body of liquid
amictic lake,body of liquid
plunge pool,body of liquid
ditch mouth,body of liquid
anchialine pool,body of liquid
waterfall,body of liquid
distributary,body of liquid
bayou,body of liquid
tidal watercourse,body of liquid
marine cold-water sphere,body of liquid
underground water body,body of liquid
pond,body of liquid
transvasement,body of liquid
underground lake,body of liquid
brackish estuary,body of liquid
obsequent stream,body of liquid
proglacial lake,body of liquid
artificial lake,body of liquid
hypersaline lake,body of liquid
fishpond,body of liquid
englacial stream,body of liquid
canal,body of liquid
mouth of liquid discharge conduit,body of liquid
underground irrigation canal,body of liquid
subglacial lake,body of liquid
navigation canal,body of liquid
flood control reservoir,body of liquid
tidal pool,body of liquid
meteorite lake,body of liquid
meromictic pond,body of liquid
puddle of water,body of liquid
river mouth,body of liquid
brackish lake,body of liquid
oxbow lake,body of liquid
landlocked sea,body of liquid
liman,body of liquid
supraglacial lake,body of liquid
riverine flood,body of liquid
lake with a hypoxic hypolimnion,body of liquid
pyritic acid mine drainage,body of liquid
flood,body of liquid
marine oxygen minimum zone,body of liquid
fjord lake,body of liquid
polymictic lake,body of liquid
intraglacial lake,body of liquid
step pool,body of liquid
marine water mass,body of liquid
slightly stratified estuary,body of liquid
cold monomictic lake,body of liquid
tidal creek,body of liquid
irrigation reservoir,body of liquid
mouth,body of liquid
holomictic lake,body of liquid
well-mixed estuary,body of liquid
sea,body of liquid
polluted river,body of liquid
brine pool,body of liquid
brackish water body,body of liquid
