class	slot	action	target	path	LinkML implementation notes	value
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	collection_date	replace_attribute	pattern			^[12]\d{3}(?:(?:-(?:0[1-9]|1[0-2]))(?:-(?:0[1-9]|[12]\d|3[01]))?)?$
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	collection_date	replace_attribute	range			string
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	collection_date	replace_attribute	required			true
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	collection_date	replace_attribute	string_serialization			{date, arbitrary precision}
SoilInterface	cur_vegetation	overwrite_examples	examples			deciduous forest|forest|Bauhinia variegata
SoilInterface	cur_vegetation	add_attribute	todos			This is no longer matching the listed IRI from GSC. When NMDC has its own slots, map this to the MIxS slot|Recommend changing this from text value to some kind of ontology?
SoilInterface	cur_vegetation_meth	overwrite_examples	examples			https://doi.org/10.1111/j.1654-109X.2011.01154.x
SoilInterface	cur_vegetation_meth	add_attribute	todos			This is no longer matching the listed IRI from GSC. When NMDC has its own slots, map this to the MIxS slot|I'm not sure this is a DOI, PMID, or URI. Should pool the community and find out how they accomplish this if provided.
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	depth	add_attribute	comments			All depths must be reported in meters. Provide the numerical portion only.
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|WastewaterSludgeInterface|WaterInterface	depth	overwrite_examples	examples			0 - 0.1|1
SedimentInterface|SoilInterface	depth	overwrite_examples	examples			0 - 0.1|1 - 1.5
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	depth	add_attribute	notes			Use modified term
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	depth	replace_attribute	range			string
SedimentInterface|SoilInterface|WaterInterface	depth	replace_attribute	required			true
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|WastewaterSludgeInterface	depth	replace_attribute	recommended			true
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|WastewaterSludgeInterface|WaterInterface	depth	replace_attribute	string_serialization			{float}|{float}-{float}
SedimentInterface|SoilInterface	depth	replace_attribute	string_serialization			{float}-{float}
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	depth	replace_attribute	title			depth, meters
BiofilmInterface|MiscEnvsInterface|SedimentInterface|WaterInterface	diether_lipids	overwrite_examples	examples			archaeol;0.2 ng/L
JgiMgInterface	dna_absorb1	replace_attribute	recommended			true
JgiMgInterface	dna_absorb2	replace_attribute	recommended			true
JgiMgLrInterface	dna_absorb1	replace_attribute	required			true
JgiMgLrInterface	dna_absorb1	replace_attribute	recommended			false
JgiMgLrInterface	dna_absorb2	replace_attribute	required			true
JgiMgLrInterface	dna_absorb2	replace_attribute	recommended			false
JgiMgInterface|JgiMgLrInterface	dna_concentration	replace_attribute	required			true
JgiMgInterface|JgiMgLrInterface	dna_concentration	replace_attribute	recommended			false
JgiMgInterface|JgiMgLrInterface	dna_cont_type	replace_attribute	required			true
JgiMgInterface|JgiMgLrInterface	dna_cont_type	replace_attribute	recommended			false
JgiMgInterface|JgiMgLrInterface	dna_container_id	replace_attribute	required			true
JgiMgInterface|JgiMgLrInterface	dna_container_id	replace_attribute	recommended			false
JgiMgInterface|JgiMgLrInterface	dna_dnase	replace_attribute	required			true
JgiMgInterface|JgiMgLrInterface	dna_dnase	replace_attribute	recommended			false
JgiMgInterface|JgiMgLrInterface	dna_isolate_meth	replace_attribute	required			true
JgiMgInterface|JgiMgLrInterface	dna_isolate_meth	replace_attribute	recommended			false
JgiMgInterface|JgiMgLrInterface	dna_project_contact	replace_attribute	required			true
JgiMgInterface|JgiMgLrInterface	dna_project_contact	replace_attribute	recommended			false
JgiMgInterface|JgiMgLrInterface	dna_samp_id	replace_attribute	required			true
JgiMgInterface|JgiMgLrInterface	dna_samp_id	replace_attribute	recommended			false
JgiMgInterface|JgiMgLrInterface	dna_sample_format	replace_attribute	required			true
JgiMgInterface|JgiMgLrInterface	dna_sample_format	replace_attribute	recommended			false
JgiMgInterface|JgiMgLrInterface	dna_sample_name	replace_attribute	required			true
JgiMgInterface|JgiMgLrInterface	dna_sample_name	replace_attribute	recommended			false
JgiMgInterface|JgiMgLrInterface	dna_sample_name	replace_attribute	pattern			^[_a-zA-Z0-9-]*$
JgiMgInterface|JgiMgLrInterface	dna_seq_project	replace_attribute	required			true
JgiMgInterface|JgiMgLrInterface	dna_seq_project	replace_attribute	recommended			false
JgiMgInterface|JgiMgLrInterface	dna_seq_project_name	replace_attribute	required			true
JgiMgInterface|JgiMgLrInterface	dna_seq_project_name	replace_attribute	recommended			false
JgiMgInterface|JgiMgLrInterface	dna_seq_project_pi	replace_attribute	required			true
JgiMgInterface|JgiMgLrInterface	dna_seq_project_pi	replace_attribute	recommended			false
JgiMgInterface|JgiMgLrInterface	dna_volume	replace_attribute	required			true
JgiMgInterface|JgiMgLrInterface	dna_volume	replace_attribute	recommended			false
JgiMtInterface	dnase_rna	replace_attribute	required			true
JgiMtInterface	dnase_rna	replace_attribute	recommended			false
SoilInterface	ecosystem	replace_attribute	range			EcosystemForSoilEnum
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|WastewaterSludgeInterface	ecosystem	replace_attribute	range			EcosystemEnum
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	ecosystem	replace_attribute	recommended			true
SoilInterface	ecosystem_category	replace_attribute	range			EcosystemCategoryForSoilEnum
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|WastewaterSludgeInterface	ecosystem_category	replace_attribute	range			EcosystemCategoryEnum
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	ecosystem_category	replace_attribute	recommended			true
SoilInterface	ecosystem_subtype	replace_attribute	range			EcosystemSubtypeForSoilEnum
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|WastewaterSludgeInterface	ecosystem_subtype	replace_attribute	range			EcosystemSubtypeEnum
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	ecosystem_subtype	replace_attribute	recommended			true
SoilInterface	ecosystem_type	replace_attribute	range			EcosystemTypeForSoilEnum
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|WastewaterSludgeInterface	ecosystem_type	replace_attribute	range			EcosystemTypeEnum
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	ecosystem_type	replace_attribute	recommended			true
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	elev	overwrite_examples	examples			225| 0|1250
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	elev	replace_attribute	range			float
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	elev	replace_attribute	required			true
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	elev	replace_attribute	title			elevation, meters
EmslInterface	emsl_store_temp	replace_attribute	required			true
EmslInterface	emsl_store_temp	replace_attribute	recommended			false
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	env_broad_scale	replace_attribute	description			In this field, report which major environmental system your sample or specimen came from. The systems identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. were you in the desert or a rainforest?). We recommend using subclasses of ENVO's biome class: http://purl.obolibrary.org/obo/ENVO_00000428. Format (one term): termLabel [termID], Format (multiple terms): termLabel [termID]|termLabel [termID]|termLabel [termID]. Example: Annotating a water sample from the photic zone in middle of the Atlantic Ocean, consider: oceanic epipelagic zone biome [ENVO:01000033]. Example: Annotating a sample from the Amazon rainforest consider: tropical moist broadleaf forest biome [ENVO:01000228]. If needed, request new terms on the ENVO tracker, identified here: http://www.obofoundry.org/ontology/envo.html
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	env_broad_scale	add_attribute	notes			"range changed to enumeration late in makefile, so this is modified (but ""sample ID"" anyway)"
SoilInterface	env_broad_scale	remove_attribute	range			
SoilInterface	env_broad_scale	replace_attribute	any_of.0.range			EnvBroadScaleSoilEnum
SoilInterface	env_broad_scale	replace_attribute	any_of.1.range			string
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	env_broad_scale	replace_attribute	required			true
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	env_local_scale	overwrite_examples	examples			canopy [ENVO:00000047]|herb and fern layer [ENVO:01000337]|litter layer [ENVO:01000338]|understory [ENVO:01000335]|shrub layer [ENVO:01000336]
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	env_local_scale	add_attribute	notes			"range changed to enumeration late in makefile, so this is modified (but ""sample ID"" anyway)"
SoilInterface	env_local_scale	remove_attribute	range			
SoilInterface	env_local_scale	replace_attribute	any_of.0.range			EnvLocalScaleSoilEnum
SoilInterface	env_local_scale	replace_attribute	any_of.1.range			string
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	env_local_scale	replace_attribute	required			true
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	env_medium	overwrite_examples	examples			soil [ENVO:00001998]
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	env_medium	add_attribute	notes			"range changed to enumeration late in makefile, so this is modified (but ""sample ID"" anyway)"
SoilInterface	env_medium	remove_attribute	range			EnvMediumSoilEnum
SoilInterface	env_medium	replace_attribute	any_of.0.range			EnvMediumSoilEnum
SoilInterface	env_medium	replace_attribute	any_of.1.range			string
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	env_medium	replace_attribute	required			true
SoilInterface|WaterInterface	experimental_factor	overwrite_examples	examples			time series design [EFO:0001779]
SoilInterface|WaterInterface	experimental_factor	replace_attribute	range			string
SoilInterface	extreme_event	overwrite_examples	examples			1980-05-18, volcanic eruption
SoilInterface	extreme_event	replace_annotation	expected_value			date, string
SoilInterface	extreme_event	replace_attribute	range			string
SoilInterface	extreme_event	add_attribute	todos			This is no longer matching the listed IRI from GSC. When NMDC has its own slots, map this to the MIxS slot
SoilInterface	fire	overwrite_examples	examples			1871-10-10|1871-10-01 to 1871-10-31
SoilInterface	fire	replace_annotation	expected_value			date string
SoilInterface	fire	replace_attribute	pattern			^[12]\d{3}(?:(?:-(?:0[1-9]|1[0-2]))(?:-(?:0[1-9]|[12]\d|3[01]))?)?(\s+to\s+[12]\d{3}(?:(?:-(?:0[1-9]|1[0-2]))(?:-(?:0[1-9]|[12]\d|3[01]))?)?)?$
SoilInterface	fire	replace_attribute	range			string
SoilInterface	fire	add_attribute	todos			"is ""to"" acceptable? Is there a better way to request that be written?|This is no longer matching the listed IRI from GSC. When NMDC has its own slots, map this to the MIxS slot"
SoilInterface	flooding	overwrite_examples	examples			1927-04-15|1927-04 to 1927-05
SoilInterface	flooding	replace_annotation	expected_value			date string
SoilInterface	flooding	replace_attribute	range			string
SoilInterface	flooding	add_attribute	todos			"is ""to"" acceptable? Is there a better way to request that be written?|What about if the ""day"" isn't known? Is this ok?|This is no longer matching the listed IRI from GSC. When NMDC has its own slots, map this to the MIxS slot"
PlantAssociatedInterface|SoilInterface	gaseous_environment	overwrite_examples	examples			CO2; 500ppm above ambient; constant|nitric oxide;0.5 micromole per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M
PlantAssociatedInterface|SoilInterface	gaseous_environment	replace_attribute	recommended			true
PlantAssociatedInterface|SoilInterface	gaseous_environment	add_attribute	todos			would like to see usage examples for this slot. Requiring micromole/L seems too limiting and doesn't match expected_value value|did I do this right? keep the example that's provided and add another? so as to not override
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	geo_loc_name	replace_attribute	description			The geographical origin of the sample as defined by the country or sea name followed by specific region name.
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	geo_loc_name	replace_attribute	required			true
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	geo_loc_name	replace_attribute	string_serialization			{text}: {text}, {text}
PlantAssociatedInterface|SoilInterface	growth_facil	replace_attribute	description			Type of facility/location where the sample was harvested; controlled vocabulary: growth chamber, open top chamber, glasshouse, experimental garden, field.
PlantAssociatedInterface|SoilInterface	growth_facil	add_attribute	notes			Removed from description: Alternatively use Crop Ontology (CO) terms
PlantAssociatedInterface|SoilInterface	growth_facil	replace_attribute	range			GrowthFacilEnum
PlantAssociatedInterface|SoilInterface	growth_facil	overwrite_examples	examples			growth_chamber
PlantAssociatedInterface|SoilInterface	growth_facil	replace_attribute	required			true
SoilInterface	heavy_metals	replace_attribute	description			Heavy metals present in the sample and their concentrations.
SoilInterface	heavy_metals	add_attribute	notes			Changed to multi-valued. In MIxS, you add another column to denote multiple heavy metals. We don't have that ability in the submission portal.
SoilInterface	heavy_metals	replace_attribute	title			heavy metals/ extreme unusual properties
SoilInterface	heavy_metals	add_attribute	todos			This is no longer matching the listed IRI from GSC. When NMDC has its own slots, map this to the MIxS slot|Example & validation. Can we make rules that 27% & 27 % & 0.27 will validate?|I think it's weird the way GSC writes the title. I recommend this change. Thoughts? I would argue this isn't an extreme unusual property. It's just a biogeochemical measurement.
SoilInterface	heavy_metals_meth	overwrite_examples	examples			https://doi.org/10.3390/ijms9040434|mercury https://doi.org/10.1007/BF01056090; chromium https://doi.org/10.1007/s00216-006-0322-8
SoilInterface	heavy_metals_meth	replace_attribute	title			heavy metals method/ extreme unusual properties
SoilInterface	heavy_metals_meth	add_attribute	todos			This is no longer matching the listed IRI from GSC. When NMDC has its own slots, map this to the MIxS slot
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|WastewaterSludgeInterface	horizon_meth	replace_attribute	title			horizon method
PlantAssociatedInterface|SoilInterface	humidity_regm	replace_attribute	recommended			true
SoilInterface	infiltrations	overwrite_examples	examples			00:01:32;00:00:53
SoilInterface	infiltrations	replace_attribute	multivalued			FALSE
SoilInterface	infiltrations	replace_attribute	pattern			^(?:(?:[0-9]|[1-9][0-9]|9[0-9]|0[0-9]|0[0-5][0-9]):[0-5][0-9]:[0-5][0-9])(?:;(?:[0-9]|[1-9][0-9]|9[0-9]|0[0-9]|0[0-5][0-9]):[0-5][0-9]:[0-5][0-9])*$
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	lat_lon	replace_attribute	range			string
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	lat_lon	replace_attribute	required			true
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	lat_lon	replace_attribute	string_serialization			{lat lon}
PlantAssociatedInterface|SoilInterface	light_regm	replace_attribute	recommended			true
SoilInterface|WaterInterface	organism_count	replace_attribute	pattern			^(\S+.*\S+;[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+.*\S+;(qPCR|ATP|MPN|other)\|)*(\S+.*\S+;[-+]?[0-9]*\.?[0-9]+([eE][-+]?[0-9]+)? \S+.*\S+;(qPCR|ATP|MPN|other))$
SoilInterface|WaterInterface	organism_count	replace_attribute	range			string
BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|MiscEnvsInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	ph	replace_attribute	description			pH measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid
BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|MiscEnvsInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	ph	replace_attribute	maximum_value			14
BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|MiscEnvsInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	ph	replace_attribute	minimum_value		expects int?!	0
BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|MiscEnvsInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	ph	add_attribute	notes			Use modified term
BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|MiscEnvsInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	ph	replace_attribute	range			float
BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|MiscEnvsInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	ph	replace_attribute	recommended			true
BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|MiscEnvsInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	ph	replace_attribute	string_serialization			{float}
BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|MiscEnvsInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	ph_meth	overwrite_examples	examples			https://www.southernlabware.com/pc9500-benchtop-ph-conductivity-meter-kit-ph-accuracy-2000mv-ph-range-2-000-to-20-000.html?gclid=Cj0KCQiAwJWdBhCYARIsAJc4idCO5vtvbVMf545fcvdROFqa6zjzNSoywNx6K4k9Coo9cCc2pybtvGsaAiR0EALw_wcB|https://doi.org/10.2136/sssabookser5.3.c16
EmslInterface	project_id	replace_attribute	required			true
EmslInterface	project_id	replace_attribute	recommended			false
JgiMgInterface|JgiMgLrInterface	proposal_dna	replace_attribute	required			true
JgiMgInterface|JgiMgLrInterface	proposal_dna	replace_attribute	recommended			false
JgiMtInterface	proposal_rna	replace_attribute	required			true
JgiMtInterface	proposal_rna	replace_attribute	recommended			false
EmslInterface	replicate_number	replace_attribute	recommended			true
JgiMtInterface	rna_absorb1	replace_attribute	recommended			true
JgiMtInterface	rna_absorb2	replace_attribute	recommended			true
JgiMtInterface	rna_concentration	replace_attribute	required			true
